title,source,episodes,rating,rank,studio,year,start_season,days_aired,duration_minutes,Genre_Action,Genre_Adventure,Genre_Cars,Genre_Comedy,Genre_Dementia,Genre_Demons,Genre_Drama,Genre_Ecchi,Genre_Fantasy,Genre_Game,Genre_Harem,Genre_Hentai,Genre_Historical,Genre_Horror,Genre_Josei,Genre_Kids,Genre_Magic,Genre_Martial Arts,Genre_Mecha,Genre_Military,Genre_Music,Genre_Mystery,Genre_NA,Genre_Parody,Genre_Police,Genre_Psychological,Genre_Romance,Genre_Samurai,Genre_School,Genre_Sci-Fi,Genre_Seinen,Genre_Shoujo,Genre_Shoujo Ai,Genre_Shounen,Genre_Shounen Ai,Genre_Slice of Life,Genre_Space,Genre_Sports,Genre_Super Power,Genre_Supernatural,Genre_Thriller,Genre_Vampire,Genre_Yaoi,Genre_Yuri,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story,success
Asobou! Hello Kitty,Unknown,26,G - All Ages,6171.0,unknown,1994,Spring,176,25.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kirin Monoshiri Yakata,Unknown,1565,PG - Children,7396.0,unknown,1975,Winter,2192,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Manga Nippon Mukashibanashi (1976),Unknown,1471,G - All Ages,6131.0,SmallStudio,1976,Winter,6815,25.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,5
Tanoshii Willow Town,Book,26,PG - Children,6283.0,unknown,1993,Fall,176,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mahoutsukai Precure!,Original,50,G - All Ages,3125.0,Toei Animation,2016,Winter,358,24.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2383.4,1,0,0,0,0,0,2,3,14,0,0,0,4
Kekkai Sensen,Manga,12,R - 17+ (violence & profanity),1041.0,Bones,2015,Spring,183,26.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1887.25,1,1,1,0,0,1,0,0,0,0,0,0,1
Pokemon Advanced Generation,Game,192,PG - Children,2866.0,OLM,2002,Fall,1394,24.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486.375,0,1,11,0,1,1,0,0,2,0,0,0,4
Astroganger,Unknown,26,G - All Ages,4131.0,Toei Animation,1972,Fall,176,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tiger Mask Nisei,Manga,33,R - 17+ (violence & profanity),1912.0,Toei Animation,1981,Spring,274,24.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2621.0,1,1,0,0,1,0,0,0,0,0,0,0,4
Kenpuu Denki Berserk,Manga,25,R+ - Mild Nudity,132.0,OLM,1997,Fall,176,25.0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2183.2,1,1,0,3,0,0,0,0,0,0,0,0,1
Pokemon Best Wishes!,Game,84,PG - Children,5075.0,OLM,2010,Fall,631,22.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682.0,0,1,3,0,1,0,0,0,2,0,0,0,5
Mushishi Zoku Shou 2nd Season,Manga,10,PG-13 - Teens 13 or older,26.0,SmallStudio,2014,Fall,64,23.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,53.25,1,1,0,0,2,0,0,0,0,0,0,0,1
Daitoshokan no Hitsujikai,Visual novel,12,PG-13 - Teens 13 or older,3404.0,SmallStudio,2014,Fall,78,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4758.5,1,0,0,0,0,0,1,0,0,0,0,0,4
Mini Hama: Minimum Hamatora,Original,8,PG-13 - Teens 13 or older,5763.0,Lerche,2015,Fall,50,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4388.0,0,0,0,0,0,0,1,0,0,0,1,0,5
Senjou no Valkyria,Game,26,PG-13 - Teens 13 or older,1086.0,A-1 Pictures,2009,Spring,176,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084.6666666666665,1,0,1,0,0,0,0,0,1,0,0,0,1
Log Horizon,Novel,25,PG-13 - Teens 13 or older,448.0,Satelight,2013,Fall,169,25.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1898.0,1,1,0,0,0,1,0,0,0,0,0,0,1
Just Because!,Original,12,PG-13 - Teens 13 or older,1974.0,SmallStudio,2017,Fall,85,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1974.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Tongari Boushi no Memole,Original,50,G - All Ages,3433.0,Toei Animation,1984,Spring,366,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,4
Great Mazinger,Manga,56,PG-13 - Teens 13 or older,2457.0,Toei Animation,1974,Fall,384,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3182.333333333333,1,1,0,0,1,0,1,2,0,0,0,0,4
Chou Denji Robo Combattler V,Unknown,54,PG-13 - Teens 13 or older,4137.0,SmallStudio,1976,Spring,407,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3
Nogizaka Haruka no Himitsu: Purezza,Light novel,12,PG-13 - Teens 13 or older,2534.0,Diomedea,2009,Fall,78,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276.333333333333,1,1,0,0,1,0,0,0,0,0,0,0,2
iDOLM@STER Xenoglossia,Original,26,PG-13 - Teens 13 or older,5066.0,Sunrise,2007,Spring,176,23.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614.6666666666665,1,0,1,0,0,0,0,0,1,0,0,0,5
Two Car,Original,12,PG-13 - Teens 13 or older,8010.0,Silver Link.,2017,Fall,78,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8010.0,1,0,0,0,0,0,0,0,0,0,0,0,5
Dragon Ball,Manga,153,PG-13 - Teens 13 or older,369.0,Toei Animation,1986,Winter,1142,24.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1876.272727272728,1,2,0,5,0,0,0,1,0,2,0,0,1
Shingetsutan Tsukihime,Visual novel,12,R - 17+ (violence & profanity),3426.0,J.C.Staff,2003,Fall,78,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2005.5,1,0,0,0,0,0,0,0,0,1,0,0,4
Hellsing,Manga,13,R - 17+ (violence & profanity),1349.0,Gonzo,2001,Fall,99,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1521.3333333333333,1,0,0,1,0,0,1,0,0,0,0,0,1
Fortune Dogs,Original,39,G - All Ages,5367.0,SmallStudio,2002,Summer,269,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Netsuzou TRap,Manga,12,R+ - Mild Nudity,8339.0,SmallStudio,2017,Summer,78,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8339.0,1,0,0,0,0,0,0,0,0,0,0,0,5
Saki,Manga,25,PG-13 - Teens 13 or older,1505.0,SmallStudio,2009,Spring,176,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3203.0,1,1,3,0,0,0,0,0,0,0,0,0,1
Obake no Q-tarou (1985),Unknown,510,G - All Ages,5808.0,unknown,1985,Spring,728,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,2,0,1,0,0,0,0,0,0,0,5
Dragon League,Unknown,39,PG-13 - Teens 13 or older,2954.0,unknown,1993,Spring,304,24.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ginsoukikou Ordian,Original,24,R+ - Mild Nudity,7873.0,unknown,2000,Spring,169,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Tachibanakan Triangle,Manga,12,R+ - Mild Nudity,8538.0,SmallStudio,0,0,0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8538.0,1,0,0,0,0,0,0,0,0,0,0,0,5
Gokudou-kun Manyuuki,Light novel,26,PG-13 - Teens 13 or older,1377.0,SmallStudio,1999,Spring,176,23.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377.0,1,0,0,0,0,0,0,0,0,0,0,0,4
High School DxD BorN,Light novel,12,R+ - Mild Nudity,1148.0,SmallStudio,2015,Spring,78,24.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958.4,1,2,1,0,1,0,0,0,0,0,0,0,1
Hanoka,Unknown,12,PG-13 - Teens 13 or older,9450.0,unknown,2006,Summer,85,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425.0,0,0,0,0,0,1,0,0,0,0,0,0,5
Shaman King,Manga,64,PG-13 - Teens 13 or older,833.0,Xebec,2001,Summer,449,23.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1497.5,1,0,0,0,0,1,0,0,0,0,0,0,1
JK Meshi!,Original,26,PG-13 - Teens 13 or older,9298.0,SmallStudio,2015,Fall,176,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Pokonyan!,Unknown,170,PG - Children,4545.0,unknown,1993,Spring,1090,10.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Gegege no Kitarou (1985),Manga,108,G - All Ages,4442.0,Toei Animation,1985,Fall,848,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2371.181818181818,1,0,4,4,0,0,1,1,0,0,0,0,3
Papuwa,Manga,26,R+ - Mild Nudity,3610.0,Nippon Animation,2003,Fall,183,25.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,3
Hentai Ouji to Warawanai Neko.,Light novel,12,PG-13 - Teens 13 or older,2068.0,J.C.Staff,2013,Spring,78,24.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3192.0,1,0,0,0,0,0,1,0,0,0,0,0,4
Majokko Tickle,Unknown,45,G - All Ages,6266.0,Toei Animation,1978,Spring,330,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Gakuen Babysitters,Manga,12,PG-13 - Teens 13 or older,675.0,Brain&#039;s Base,2018,Winter,78,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,675.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Sakura Taisen,Game,25,PG-13 - Teens 13 or older,3691.0,Madhouse,2000,Spring,169,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5494.333333333333,1,0,0,1,0,0,0,1,0,0,0,0,3
gdMen,Original,12,PG - Children,7138.0,SmallStudio,2018,Winter,78,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203.0,0,0,0,0,1,0,0,0,0,0,0,0,5
Mobile Suit Gundam: Iron-Blooded Orphans,Original,25,R - 17+ (violence & profanity),557.0,Sunrise,2015,Fall,176,24.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,344.6666666666667,1,1,0,0,0,0,1,0,0,0,0,0,1
Qin Shi Ming Yue: Zhu Zi Bai Jia,Novel,34,PG-13 - Teens 13 or older,2251.0,SmallStudio,2010,Summer,2893,22.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3721.0,0,1,0,0,1,0,0,4,0,0,0,0,4
Uta no☆Prince-sama♪ Maji Love Revolutions,Visual novel,13,PG-13 - Teens 13 or older,2829.0,A-1 Pictures,2015,Spring,85,24.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2087.0,0,1,0,0,1,0,0,0,0,0,0,0,2
Andes Shounen Pepero no Bouken,Unknown,26,PG - Children,4349.0,unknown,1975,Fall,176,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mahou Shoujo Lyrical Nanoha,Original,13,PG-13 - Teens 13 or older,1670.0,SmallStudio,2004,Fall,85,25.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3378.8,1,1,0,2,0,0,0,1,0,0,0,0,1
Majutsushi Orphen: Revenge,Unknown,23,PG-13 - Teens 13 or older,3847.0,J.C.Staff,1999,Fall,177,24.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1266.0,0,0,0,1,1,0,0,0,0,0,0,0,3
Ikoku Meiro no Croisée The Animation,Manga,12,G - All Ages,1729.0,Satelight,2011,Summer,78,23.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1546.5,1,0,1,0,0,0,2,0,0,0,0,0,4
Kyoushoku Soukou Guyver (2005),Manga,26,PG-13 - Teens 13 or older,2244.0,OLM,2005,Summer,197,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4261.0,1,0,0,1,0,0,0,0,0,0,0,0,4
Kaibutsu-kun (1980),Unknown,94,G - All Ages,4798.0,Shin-Ei Animation,1980,Fall,757,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,4
Sekai Seifuku: Bouryaku no Zvezda,Original,12,PG-13 - Teens 13 or older,3012.0,A-1 Pictures,2014,Winter,78,24.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845.25,3,1,0,0,0,0,0,0,0,0,0,0,4
Ikkitousen: Dragon Destiny,Manga,12,R+ - Mild Nudity,3875.0,Arms,2007,Winter,78,24.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4580.666666666667,0,1,1,0,1,0,0,0,0,0,0,0,4
Saber Marionette J,Original,25,PG-13 - Teens 13 or older,1950.0,SmallStudio,1996,Fall,176,25.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2290.5,2,1,0,0,0,0,0,0,1,0,0,0,4
Rozen Maiden: Träumend,Manga,12,PG-13 - Teens 13 or older,1024.0,SmallStudio,2005,Fall,99,24.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1336.6666666666667,1,0,1,0,1,0,0,0,0,0,0,0,1
Saki Zenkoku-hen,Manga,13,PG-13 - Teens 13 or older,1704.0,SmallStudio,2014,Winter,92,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1627.5,1,0,2,0,1,0,0,0,0,0,0,0,4
Jagainu-kun,Unknown,26,G - All Ages,5211.0,unknown,2004,Spring,106,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
NieA Under 7,Original,13,PG-13 - Teens 13 or older,3854.0,SmallStudio,2000,Spring,85,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3854.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Mushishi Zoku Shou,Manga,10,PG-13 - Teens 13 or older,33.0,SmallStudio,2014,Spring,78,24.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,51.8,1,2,0,0,2,0,0,0,0,0,0,0,1
Shigurui,Manga,12,R+ - Mild Nudity,1647.0,Madhouse,2007,Summer,85,23.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1647.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Motto To LOVE-Ru,Manga,12,R+ - Mild Nudity,1581.0,Xebec,2010,Fall,78,24.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1824.0,1,1,0,0,1,0,0,0,0,0,0,0,1
Larva 2nd Season,Unknown,34,G - All Ages,6698.0,unknown,2013,Winter,260,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7182.5,0,1,0,0,1,0,0,0,0,0,0,0,5
Hello!! Kiniro Mosaic,4-koma manga,12,PG-13 - Teens 13 or older,1348.0,SmallStudio,2015,Spring,78,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1928.6666666666667,1,1,0,0,1,0,0,0,0,0,0,0,4
Night Wizard,Game,13,PG-13 - Teens 13 or older,4458.0,unknown,2007,Fall,85,25.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4
Shingeki! Kyojin Chuugakkou,Manga,12,PG-13 - Teens 13 or older,3320.0,Production I.G,2015,Fall,78,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1715.0,1,0,0,0,0,0,0,0,0,0,1,0,4
Tsuideni Tonchinkan,Unknown,43,G - All Ages,12507.0,unknown,1987,Fall,358,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cutey Honey F,Unknown,39,PG-13 - Teens 13 or older,5005.0,Toei Animation,1997,Winter,351,23.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1310.5,1,0,1,1,0,0,1,0,0,0,0,0,3
Hina Logi: From Luck & Logic,Card game,12,PG-13 - Teens 13 or older,4529.0,Doga Kobo,2017,Summer,85,23.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592.5,1,0,0,0,0,0,1,0,0,0,0,0,3
Kaleido Star,Original,51,PG-13 - Teens 13 or older,517.0,SmallStudio,2003,Spring,360,23.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2462.5,0,1,0,0,0,0,0,1,0,0,0,0,4
Yuru Yuri San☆Hai!,Manga,12,PG-13 - Teens 13 or older,527.0,SmallStudio,2015,Fall,78,23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,668.6666666666666,1,1,0,0,1,0,0,0,0,0,0,0,1
Tales of Eternia The Animation,Game,13,PG-13 - Teens 13 or older,6451.0,SmallStudio,2001,Winter,78,22.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301.5,1,0,0,0,0,0,0,0,0,1,0,0,5
Ikkyuu-san,Unknown,296,G - All Ages,3338.0,Toei Animation,1975,Fall,2449,24.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,4
Shin Megami Tensei Devil Children,Game,50,PG - Children,5696.0,SmallStudio,2000,Fall,358,23.0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2848.0,1,1,0,0,0,0,0,0,0,0,0,0,5
