title,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story
Harukanaru Toki no Naka de: Hachiyou Shou OVA,3040.0,0,0,0,0,0,0,0,0,0,0,1,0
Hentai Ouji to Warawanai Neko.,3192.0,1,0,0,0,0,0,1,0,0,0,0,0
Tonari no Seki-kun OVA,1160.0,0,0,0,0,0,0,0,0,0,0,1,0
Majokko Tickle,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Innocent: Shoujo Memoria,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Gakuen Babysitters,675.0,1,0,0,0,0,0,0,0,0,0,0,0
Seikoujo: Haitoku no Biden Dorei,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,760.0,0,0,0,0,0,0,1,0,0,0,0,0
Sakura Taisen,5494.333333333333,1,0,0,1,0,0,0,1,0,0,0,0
gdMen,3203.0,0,0,0,0,1,0,0,0,0,0,0,0
Ijime: Ikenie no Kyoushitsu,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Mekakucity Days,2737.5,0,0,0,1,0,0,5,0,0,0,0,0
Pandra The Animation: Shiroki Yokubou Kuro no Kibou,8612.666666666666,1,1,0,0,1,0,0,0,0,0,0,0
Stratos 4 OVA: Stratos 4.1 - Dutch Roll,4171.0,0,0,0,0,0,0,0,0,1,0,0,0
Mobile Suit Gundam: Iron-Blooded Orphans,344.6666666666667,1,1,0,0,0,0,1,0,0,0,0,0
Futatsu no Kurumi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Qin Shi Ming Yue: Zhu Zi Bai Jia,1745.8333333333333,0,1,0,0,1,0,0,4,0,0,0,0
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,114.0,0,0,0,0,0,0,0,0,0,0,1,0
Uta no☆Prince-sama♪ Maji Love Revolutions,2087.0,0,1,0,0,1,0,0,0,0,0,0,0
Mangchi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Emeraldas,2071.8,1,0,0,1,0,0,1,0,0,2,0,0
Andes Shounen Pepero no Bouken,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Mahou Shoujo Lyrical Nanoha,3378.8,1,1,0,2,0,0,0,1,0,0,0,0
Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,973.0,1,0,0,0,0,0,0,0,0,0,1,0
Majutsushi Orphen: Revenge,1266.0,0,0,0,1,1,0,0,0,0,0,0,0
Blood-C: The Last Dark,3132.2,1,0,0,0,2,0,2,0,0,0,0,0
Ikoku Meiro no Croisée The Animation,1546.5,1,0,1,0,0,0,2,0,0,0,0,0
Hadashi no Gen 2,735.0,0,0,0,0,1,0,0,0,0,0,0,0
Kyoushoku Soukou Guyver (2005),4261.0,1,0,0,1,0,0,0,0,0,0,0,0
Kaibutsu-kun (1980),0.0,0,0,2,1,0,0,0,0,0,0,0,0
Sekai Seifuku: Bouryaku no Zvezda,1845.25,3,1,0,0,0,0,0,0,0,0,0,0
Ikkitousen: Dragon Destiny,4580.666666666667,0,1,1,0,1,0,0,0,0,0,0,0
Saber Marionette J,2290.5,2,1,0,0,0,0,0,0,1,0,0,0
Starry☆Sky,6558.0,1,0,0,0,0,0,0,0,0,0,0,0
Aria The Avvenire,35.0,1,0,0,0,1,0,0,0,0,0,0,0
Berserk Recap,4739.0,0,0,0,0,0,0,0,0,0,0,0,1
Doraemon Movie 26: Nobita no Kyouryuu 2006,1190.0,0,0,0,1,0,0,0,0,0,0,1,0
Trinity Seven Movie: Eternity Library to Alchemic Girl,977.5,1,0,0,0,0,0,0,0,0,0,1,0
Princess Lover!: Magical Knight Maria-chan,3716.0,0,0,0,0,0,0,0,0,0,0,1,0
Harukoi Otome,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Audition,9658.0,1,0,0,0,0,0,0,0,0,0,0,0
Kuroshitsuji Movie: Book of the Atlantic,385.0,1,0,0,0,1,0,0,0,0,0,0,0
Dies Irae: Reimei,4202.5,1,1,0,0,0,0,0,0,0,0,0,0
Rozen Maiden: Träumend,1336.6666666666667,1,0,1,0,1,0,0,0,0,0,0,0
Freedom,0.0,0,0,0,0,1,0,0,0,0,0,0,0
Kounai Shasei,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Kisaku,12919.0,0,1,0,0,0,0,0,0,0,3,0,0
Kowaremono,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Saki Zenkoku-hen,1627.5,1,0,2,0,1,0,0,0,0,0,0,0
Wanna. SpartanSex Spermax!!!,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Jagainu-kun,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Gugure! Kokkuri-san Specials,1196.0,0,0,0,0,0,0,0,0,0,0,1,0
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
NieA Under 7,3854.0,1,0,0,0,0,0,0,0,0,0,0,0
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",0.0,0,0,0,0,0,0,0,0,0,0,0,0
Otokonoko ♂ Delivery,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Soukou Kihei Votoms: Gen-ei Hen,0.0,0,0,0,0,1,0,0,0,0,0,0,0
No Littering,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,2484.0,1,0,0,0,0,0,1,0,0,0,0,0
Sora no Otoshimono Final: Eternal My Master,1187.5,1,0,0,0,1,0,0,0,0,0,0,0
Aishen Qiaokeli-ing... 2nd Season,2707.0,0,0,0,0,1,0,0,0,0,0,0,0
Overlord: Ple Ple Pleiades,3088.25,0,2,0,0,0,0,1,0,0,0,1,0
Getsuyoubi no Tawawa,4961.0,0,1,0,0,0,0,0,0,0,0,0,0
Mushishi Zoku Shou,51.8,1,2,0,0,2,0,0,0,0,0,0,0
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,1964.0,0,0,0,1,0,0,0,0,0,0,1,0
Kafun Shoujo Chuuihou! The Animation,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,2208.0,0,0,0,0,0,0,0,0,0,0,1,0
Tenshi no Tamago,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Biohazard: Damnation,2813.5,0,1,0,0,1,0,0,0,0,0,0,0
Shigurui,1647.0,1,0,0,0,0,0,0,0,0,0,0,0
Hinadori no Saezuri,12919.0,0,0,0,0,1,0,0,0,0,0,0,0
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,1886.0,0,0,0,0,0,0,0,0,0,0,1,0
Tanaka-kun wa Kyou mo Kedaruge,524.0,0,0,0,0,0,0,0,0,0,0,1,0
"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no ja!",1898.0,0,0,0,0,0,0,0,0,0,0,0,1
One Piece Film: Z,1094.0,0,0,0,0,2,0,0,0,0,0,1,0
Otaku no Video,1032.0,0,0,0,0,0,0,0,0,0,1,0,0
Motto To LOVE-Ru,1824.0,1,1,0,0,1,0,0,0,0,0,0,0
Larva 2nd Season,7182.5,0,1,0,0,1,0,0,0,0,0,0,0
Sukitte Ii na yo.: Mei and Marshmallow,1177.0,0,0,0,0,0,0,0,0,0,0,1,0
Hello!! Kiniro Mosaic,1928.6666666666667,1,1,0,0,1,0,0,0,0,0,0,0
Nebula feat. Hatsune Miku,6513.4,0,3,0,0,0,0,0,0,0,2,0,0
Juusenki L-Gaim III: Full Metal Soldier,0.0,0,0,0,0,1,0,0,0,0,0,0,0
Night Wizard,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nee Summer!,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,6521.0,0,0,0,0,0,0,0,0,0,0,1,0
Shingeki! Kyojin Chuugakkou,1715.0,1,0,0,0,0,0,0,0,0,0,1,0
Detective Conan Movie 10: Requiem of the Detectives,0.0,0,0,0,0,0,1,0,0,0,0,1,0
Akikan!: Kan Ippatsu!? Onsen Panic,6258.0,0,0,0,0,0,0,0,0,0,0,1,0
Tsuideni Tonchinkan,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cutey Honey F,1310.5,1,0,1,1,0,0,1,0,0,0,0,0
Hina Logi: From Luck & Logic,5592.5,1,0,0,0,0,0,1,0,0,0,0,0
Imouto Paradise!,6459.5,1,1,0,0,0,0,0,0,0,0,0,0
High School DxD Hero: Taiikukan-ura no Holy,574.0,0,1,0,0,1,0,0,0,0,0,0,0
Mobile Suit Gundam: The Origin,381.5,1,0,0,1,0,0,0,0,0,0,0,0
Chikan Densha,12919.0,0,1,0,0,0,0,0,0,0,0,0,0
Boyfriend,9764.0,1,0,0,0,0,0,0,0,0,0,0,0
Senbon Matsubara,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Shion,12919.0,0,0,0,0,0,0,1,0,0,0,0,0
Shuudan Chikan Densha,12919.0,0,0,0,0,1,0,0,0,0,0,0,0
Kaleido Star,2462.5,0,1,0,0,0,0,0,1,0,0,0,0
Double Circle,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Yuru Yuri San☆Hai!,668.6666666666666,1,1,0,0,1,0,0,0,0,0,0,0
Minky Momo in Tabidachi no Eki,3770.0,0,1,0,0,0,0,0,0,0,0,1,0
Tales of Eternia The Animation,2301.5,1,0,0,0,0,0,0,0,0,1,0,0
Ikkyuu-san,0.0,0,0,3,1,0,0,0,0,0,0,0,0
Ryouki no Ori: Dai 2 Shou,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Shenmue: The Movie,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Gensoumaden Saiyuuki: Kibou no Zaika,1475.0,0,0,0,0,1,0,0,0,0,0,1,0
Megumi,7176.0,1,0,0,0,0,0,0,0,0,0,0,0
Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,4268.333333333333,0,1,0,0,2,0,0,0,0,0,0,0
Shin Megami Tensei Devil Children,2848.0,1,1,0,0,0,0,0,0,0,0,0,0
Saimin Jutsu The Animation 2nd,12919.0,0,0,0,0,0,0,1,0,0,0,0,0
Agukaru,9560.0,0,1,0,0,0,0,0,0,0,0,0,0
Diamond no Ace: Second Season OVA,232.5,1,0,0,0,0,0,0,0,0,0,1,0
Bubblegum Crisis Tokyo 2040,4686.0,0,0,0,0,0,0,0,0,1,1,0,0
Mahou Shoujo Ore,4076.0,1,0,0,0,0,0,0,0,0,0,0,0
Inma Daitoshi: Beast City,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Gin no Saji,282.5,1,1,0,0,0,0,0,0,0,0,0,0
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Durarara!!x2 Ten: Onoroke Chakapoko,340.5,1,0,0,0,0,0,0,0,0,0,1,0
Koukaku no Pandora: Ghost Urn,5214.0,1,0,0,0,0,0,1,0,0,0,0,0
Kusatta Kyoushi no Houteishiki,6696.0,1,0,0,0,0,0,0,0,0,0,0,0
Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,3238.0,1,0,0,0,0,0,0,0,0,0,1,0
001,0.0,0,0,0,0,0,0,0,0,0,0,0,0
El,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ring of Gundam,763.0,0,0,0,0,0,0,0,0,0,0,1,0
Kujira no Kora wa Sajou ni Utau,3061.0,1,0,1,0,0,0,0,0,0,0,0,0
Kakurenbo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cosplay Complex: Extra Identification,7470.0,0,0,0,0,0,0,0,0,0,0,1,0
Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi,2160.0,0,0,0,0,0,0,0,0,0,0,1,0
Eikoku Koi Monogatari Emma: Intermission,469.0,1,0,0,0,0,0,0,0,0,0,0,1
Bakuhatsu Sunzen!! Tenshi no Countdown,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Tokyo Futago Athletic,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nerawareta Megami Tenshi Angeltia: Mamotta Ningentachi ni Uragirarete,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kuro no Danshou,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Yamada-kun to 7-nin no Majo,1413.6666666666667,1,0,0,0,0,0,2,0,0,0,0,0
Black Jack 21,941.5,1,0,0,0,1,0,0,0,0,0,0,0
Seikai no Monshou,1649.25,1,1,0,0,1,1,0,0,0,0,0,0
Lupin III: Chi no Kokuin - Eien no Mermaid,1043.0,0,0,0,0,0,0,0,0,0,0,1,0
Akindo Sei no Little Peso,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kill Me Baby: Butsuzou Kegatte Nise Halloween,3779.0,1,0,0,0,0,0,0,0,0,0,1,0
Black Jack: Dr. Pinoko no Mori no Bouken,1110.0,0,0,0,0,0,0,1,0,0,0,1,0
Himouto! Umaru-chan R,2022.0,1,0,0,0,1,0,0,0,0,0,0,0
Mahou no Star Magical Emi: Semishigure,4499.0,0,0,0,0,1,0,0,0,0,0,0,0
Boku no Hero Academia 2nd Season,749.0,1,1,1,0,2,0,0,0,0,0,0,0
Izumo: Takeki Tsurugi no Senki,12919.0,0,0,0,0,1,0,0,0,0,0,0,0
Rance: Sabaku no Guardian,12919.0,0,0,0,1,0,0,0,0,0,0,0,0
HenSemi,5161.0,1,0,0,1,0,0,0,0,0,0,0,0
Toshokan Sensou: Koi no Shougai,1480.0,0,0,0,0,0,0,0,0,0,0,1,0
One Piece Movie 5: Norowareta Seiken,1502.0,0,0,1,0,0,0,0,0,0,0,1,0
Gungrave,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ichigo 100% OVA,3640.0,0,0,0,0,1,0,0,0,0,0,0,0
Initial D First Stage,687.6,1,1,0,0,0,3,0,0,0,0,0,0
RahXephon: Pluralitas Concentio,1644.0,0,0,0,1,0,0,0,0,0,0,0,0
Suna no Bara: Yuki no Mokushiroku,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Urusei Yatsura: The Shougaibutsu Suieitaikai,879.75,1,0,0,0,0,0,0,0,0,2,1,0
Kara no Kyoukai 4: Garan no Dou,1471.2,1,1,0,0,1,1,1,0,0,0,0,0
Yume ga Sameru made,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nikuyome: Takayanagi Ke no Hitobito,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,131.0,0,0,0,0,0,0,0,0,0,0,1,0
Kyattou Ninden Teyandee,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ma Shen,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ling Yu 2nd Season,0.0,0,1,0,0,1,0,0,0,0,0,0,0
Gakuen Handsome Special,5838.0,0,0,0,0,1,0,0,0,0,0,0,0
Fantastic Children,1518.0,1,1,0,0,0,0,0,0,0,0,0,0
MEMORiES MELODiES,1536.75,0,0,0,0,0,0,3,0,0,0,1,0
MM!,3528.0,1,0,1,0,0,0,0,0,0,0,0,0
Kyuukyoku no Sex Adventure Kamasutra,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Mahou Shoujo-tai Arusu the Adventure,2857.0,0,0,0,0,0,0,0,0,0,0,1,0
Nitaboh,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Tennen Koi-iro Alcohol,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Dai Yamato Zero-gou,1141.0,0,0,0,0,0,0,0,1,0,0,0,0
Oni Chichi 2,12919.0,1,1,0,1,0,0,0,0,0,0,0,0
Yume no Hoshi no Button Nose,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Higurashi no Naku Koro ni Kai,776.0,2,1,0,0,1,0,0,1,0,0,0,0
Free!: FrFr - Short Movie,1399.0,0,0,0,0,0,0,0,0,0,0,1,0
Saga-ken wo Meguru Animation (2017),6977.0,0,0,0,0,0,0,1,0,0,0,0,0
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,2518.0,0,0,0,0,0,0,0,0,0,0,1,0
"Ippun de Wakaru Eiga ""Donten ni Warau"" Kaisetsu Yokoku",5653.5,0,0,0,0,0,0,2,0,0,0,0,0
Maetel Legend,2660.1428571428573,0,2,0,1,3,0,0,0,0,1,0,0
Fate/kaleid liner Prisma☆Illya 2wei! Specials,1888.0,0,0,0,0,0,0,0,0,0,0,1,0
Taifuu no Noruda,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Zettai Shounen,3552.0,1,0,0,0,0,0,0,0,0,0,0,0
Rinne no Lagrange Specials,3615.0,1,0,0,0,0,0,1,0,0,0,0,0
Ganbare Goemon: Chikyuu Kyuushutsu Daisakusen,6783.0,0,0,0,0,0,0,0,0,0,0,1,0
Kyou kara Ore wa!!,413.0,1,0,0,0,0,0,0,0,0,0,0,0
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,1471.75,0,1,0,0,1,0,1,0,1,0,0,0
Nyoro-n Churuya-san,2870.5,1,0,0,0,0,0,0,1,0,0,0,0
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,1677.0,1,0,0,0,0,0,0,0,0,0,0,0
Tetsuwan Atom: Atom Tanjou no Himitsu,2665.5,0,0,0,2,0,0,0,0,0,0,0,0
Mobile Suit Victory Gundam,4355.0,0,2,0,0,1,0,0,0,0,0,0,0
Mezame no Hakobune,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh Precure!,2511.1363636363635,1,0,1,0,0,0,0,6,14,0,0,0
Brothers Conflict Special,4621.0,0,0,0,0,1,0,1,0,0,0,0,0
Etsuraku no Tane The Animation,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Astro Boy: Tetsuwan Atom,1901.875,2,0,1,2,1,0,0,0,1,1,0,0
HORIZON feat. Hatsune Miku,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Onna Kyoushi,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Sei Brunehilde Gakuen Shoujo Kishidan to Junpaku no Panty The Animation,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Soukou no Strain,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cinderella Monogatari,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Porphy no Nagai Tabi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Lupin III: Kutabare! Nostradamus,1043.0,0,0,0,0,0,0,0,0,0,0,1,0
Pico: My Little Summer Story,12919.0,0,0,0,1,0,0,0,0,0,0,0,0
Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,517.0,1,0,0,0,0,0,0,0,0,0,1,0
Fushigi Yuugi: Eikouden,1113.5,1,0,0,0,1,0,0,0,0,0,0,0
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,0.0,0,0,0,0,0,0,1,0,0,0,0,0
Kaibutsu Oujo (OVA),3595.0,1,0,0,2,0,0,0,0,0,0,0,0
Digimon Adventure 02,2083.0,1,1,1,0,1,0,0,4,0,0,0,0
MapleStory,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Maria-sama ga Miteru 4th,1556.0,1,0,1,0,1,0,0,0,0,0,0,0
UFO Senshi Dai Apolon,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Inuyashiki,697.0,1,0,0,0,0,0,0,0,0,0,0,0
Mobile Suit Gundam MS IGLOO: The Hidden One Year War,2115.0,0,1,0,0,0,0,0,0,0,0,1,0
Happy Kappy,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Hoozuki no Reitetsu 2nd Season,528.6666666666666,1,1,0,0,1,0,0,0,0,0,0,0
Uchuu no Kishi Tekkaman,3291.0,0,0,0,1,0,0,0,0,0,1,0,0
Unkai no Meikyuu Zeguy,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3-gatsu no Lion,2031.6,1,1,0,0,0,1,2,0,0,0,0,0
Bakuen Campus Guardress,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Pokemon Black and White 2: Introduction Movie,5075.0,0,0,0,0,0,0,0,0,1,0,0,0
Cyborg 009: The Cyborg Soldier,3652.1111111111113,1,0,1,6,0,0,1,0,0,0,0,0
Doushitemo Eto ni Hairitai,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Thermae Romae,402.125,1,0,2,0,0,0,5,0,0,0,0,0
Nurarihyon no Mago,3157.0,1,1,1,0,0,1,0,0,0,0,0,0
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,1543.0,0,1,0,0,1,0,0,0,0,0,0,0
Major S4,93.0,1,1,0,0,1,0,0,0,0,0,0,0
Hunter x Hunter: Greed Island,118.0,1,1,0,1,1,0,0,0,0,0,0,0
Kyoufu no Kyou-chan,0.0,0,0,0,0,0,0,0,0,0,0,0,0
D.Gray-man,505.0,1,1,0,0,0,0,0,0,0,0,0,0
Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,3507.0,0,1,0,0,1,0,0,0,0,0,1,0
Major: World Series,112.0,1,1,0,0,1,0,0,0,0,0,0,0
Dual Parallel! Trouble Adventures Special,2959.0,0,0,0,0,1,0,0,0,0,0,0,0
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,209.5,1,1,0,1,1,0,0,0,0,0,0,0
Super Street Fighter IV,0.0,0,0,0,0,1,0,0,0,0,0,0,0
Mahou Shoujo-tai Arusu,4078.0,0,0,1,0,0,0,0,0,0,0,0,0
Asu no Yoichi!,3728.0,1,0,0,0,0,0,0,0,0,0,0,0
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,35.0,1,0,0,0,0,0,0,0,0,0,1,0
Pokemon: Pikachu Tankentai,1882.5,0,0,0,0,0,0,1,0,0,0,1,0
Seirei Tsukai,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Initial D: Project D to the Next Stage - Project D e Mukete,401.0,0,0,0,0,0,0,0,0,0,0,0,3
Anata dake Konbanwa,12919.0,0,0,0,0,0,0,0,0,0,2,0,0
Kore ga Watashi no Goshujinsama,5019.0,1,0,0,0,0,0,0,0,0,0,0,0
Kamen no Maid Guy,3502.5,1,0,1,0,0,0,0,0,0,0,0,0
Neppuu Kairiku Bushi Road,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Boku no Hero Academia 2nd Season: Hero Note,86.0,0,1,0,0,0,0,0,0,0,0,0,1
Chuuka Ichiban!,1099.0,1,0,0,0,0,0,0,0,0,0,0,0
Digimon Adventure tri. 3: Kokuhaku,1292.5,0,1,0,0,1,0,0,0,0,0,0,0
Uchuu no Kishi Tekkaman Blade,5344.0,0,1,2,2,0,0,0,0,0,0,0,0
Bishoujo Animerama: Miyuki-chan SOS-H Shichauzo,12919.0,0,0,0,0,0,0,3,0,0,0,0,0
Mobile Suit Gundam 00 Second Season,618.8,3,1,0,0,1,0,0,0,0,0,0,0
Gatchaman Crowds: Embrace,1929.0,0,0,0,0,0,0,0,0,0,0,1,0
Fushigiboshi no☆Futagohime Gyu!,3672.0,0,0,1,0,1,0,0,0,0,0,0,0
Swing Out Sisters,12919.0,1,1,0,0,0,0,0,0,0,0,0,0
Hiyoko Gumo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kagaku Ninja-tai Gatchaman,4187.428571428572,0,1,0,1,0,1,3,0,0,1,0,0
"Pakomane: Watashi, Kyou kara Meimon Yakyuubu no Seishorigakari ni Narimasu... The Animation",0.0,1,0,0,0,0,0,0,0,0,0,0,0
Sankarea,2054.6666666666665,1,1,1,0,0,0,0,0,0,0,0,0
Oira Uchuu no Tankoufu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Major S2,194.75,1,1,0,0,2,0,0,0,0,0,0,0
Katekyo Hitman Reborn! x ēlDLIVE Special,3302.5,0,0,0,0,0,0,2,0,0,0,0,0
Kikaider 01 The Animation,2851.3333333333335,1,1,0,0,1,0,0,0,0,0,0,0
Kick-Heart,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Sengoku Basara,1547.6666666666667,2,1,2,0,0,0,1,0,0,0,0,0
Suki na Mono wa Suki Dakara Shou ga Nai!!,2650.5,1,0,1,0,0,0,0,0,0,0,0,0
Youkai Watch,1734.5,1,1,3,0,0,1,1,0,0,1,0,0
Boys Be...,5475.0,1,0,0,0,0,0,0,0,0,0,0,0
Juuni Taisen,4710.0,1,0,0,0,0,0,0,0,0,0,0,0
Tong Zhi Zhe,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Tamayura,2617.5,1,1,0,0,0,0,0,0,0,0,0,0
I&#039;ll/CKBC,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Sinbad: Soratobu Hime to Himitsu no Shima Pilot,0.0,0,0,0,1,0,0,0,0,0,0,0,0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,2471.0,0,0,0,0,0,0,1,0,0,0,0,0
Umineko no Naku Koro ni Specials,2508.0,0,0,0,0,0,0,0,1,0,0,0,0
UN-GO,2560.6666666666665,1,0,0,0,1,0,1,0,0,0,0,0
Ikusa Otome Valkyrie G,6459.5,1,0,0,0,1,0,0,0,0,0,0,0
Ingoku Byoutou,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Oshin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Morinaga Nyuugyou x Mary to Majo no Hana,908.5,0,0,0,0,0,0,2,0,0,0,0,0
Iron Kid,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon Diamond & Pearl: Genei no Hasha Zoroark,1345.0,1,0,0,0,0,0,0,0,0,0,1,0
Monsuto Anime,4949.5,0,1,1,0,1,0,1,0,0,0,0,0
Mujintou Monogatari X,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Mermaid Forest,2445.25,1,0,0,2,1,0,0,0,0,0,0,0
Hetalia World Series,992.5,1,1,1,0,1,0,0,0,0,0,0,0
Dragon Ball Movie 3: Makafushigi Daibouken,2152.6666666666665,0,1,0,1,1,0,0,0,0,0,0,0
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Street Fighter II V,657.25,1,0,0,1,0,0,1,0,1,0,0,0
Fantasista Stella,7080.0,1,0,0,0,0,0,0,0,0,0,0,0
Ozma,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Utawarerumono Specials,1026.0,0,0,0,0,0,0,0,0,0,0,1,0
Strike the Blood: Valkyria no Oukoku-hen,2261.0,0,0,0,0,0,0,0,0,0,0,1,0
B-Legend! Battle B-Daman Fire Spirits!,3086.0,1,0,0,0,1,0,0,0,0,0,0,0
Kime Koi!,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Full Metal Panic! The Second Raid,703.1428571428571,2,1,2,0,2,0,0,0,0,0,0,0
Boku no Yayoi-san 2,12919.0,1,0,0,0,1,0,0,0,0,0,0,0
Sekai de Ichiban Tsuyoku Naritai! Specials,7526.0,0,0,0,0,0,0,0,0,0,0,1,0
Seiyou Kottou Yougashiten: Antique,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Popolocrois Monogatari,3167.0,1,1,0,0,0,0,0,0,0,0,0,0
Freezing,3784.0,1,1,1,0,0,0,0,0,0,0,0,0
Chou Kousoku Gran Doll,0.0,0,0,0,0,0,0,0,0,0,0,0,0
